task_id,dataset_name,target_name,n_samples,n_features,missing_data,categorical_features,R2_PySRRegressor,R2_RandomForestRegressor,R2_XGBRegressor,MSE_PySRRegressor,MSE_RandomForestRegressor,MSE_XGBRegressor,RMSE_PySRRegressor,RMSE_RandomForestRegressor,RMSE_XGBRegressor
361234,abalone,rings,"4,177",8,0,1,0.59 +/- 0.02,0.55 +/- 0.02,0.46 +/- 0.03,0.40 +/- 0.04,0.45 +/- 0.04,0.54 +/- 0.04,0.64 +/- 0.03,0.67 +/- 0.03,0.73 +/- 0.03
361235,airfoil_self_noise,sound_pressure,"1,503",5,0,0,0.88 +/- 0.04,0.94 +/- 0.01,0.96 +/- 0.01,0.12 +/- 0.04,0.06 +/- 0.01,0.04 +/- 0.01,0.34 +/- 0.05,0.24 +/- 0.02,0.20 +/- 0.03
361236,auction_verification,verification.time,"2,043",7,0,2,0.93 +/- 0.12,0.99 +/- 0.00,1.00 +/- 0.00,0.07 +/- 0.12,0.01 +/- 0.00,0.00 +/- 0.00,0.23 +/- 0.15,0.07 +/- 0.01,0.03 +/- 0.00
361237,concrete_compressive_strength,strength,"1,030",8,0,0,0.89 +/- 0.03,0.91 +/- 0.03,0.94 +/- 0.02,0.11 +/- 0.02,0.08 +/- 0.02,0.06 +/- 0.02,0.33 +/- 0.03,0.29 +/- 0.04,0.25 +/- 0.04
361241,physiochemical_protein,RMSD,"45,730",9,0,0,0.41 +/- 0.02,0.68 +/- 0.00,0.65 +/- 0.00,0.59 +/- 0.02,0.32 +/- 0.01,0.35 +/- 0.01,0.77 +/- 0.02,0.56 +/- 0.01,0.59 +/- 0.01
361242,superconductivity,critical_temp,"21,263",81,0,0,0.80 +/- 0.02,0.93 +/- 0.01,0.92 +/- 0.01,0.20 +/- 0.01,0.07 +/- 0.01,0.08 +/- 0.01,0.45 +/- 0.01,0.27 +/- 0.01,0.28 +/- 0.01
361243,geographical_origin_of_music,latitude,"1,059",116,0,0,0.25 +/- 0.05,0.27 +/- 0.06,0.23 +/- 0.11,0.75 +/- 0.13,0.73 +/- 0.16,0.76 +/- 0.16,0.86 +/- 0.07,0.85 +/- 0.09,0.87 +/- 0.09
361244,solar_flare,c_class_flares,"1,066",10,0,8,0.18 +/- 0.04,-0.17 +/- 0.20,-0.41 +/- 0.37,0.83 +/- 0.35,1.14 +/- 0.37,1.32 +/- 0.37,0.89 +/- 0.18,1.05 +/- 0.17,1.14 +/- 0.15
361247,naval_propulsion_plant,gt_compressor_decay_state_coefficient,"11,934",14,0,0,1.00 +/- 0.00,1.00 +/- 0.00,1.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.05 +/- 0.02,0.06 +/- 0.01,0.06 +/- 0.00
361249,white_wine,quality,"4,898",11,0,0,0.36 +/- 0.04,0.55 +/- 0.04,0.50 +/- 0.04,0.64 +/- 0.04,0.45 +/- 0.04,0.50 +/- 0.05,0.80 +/- 0.02,0.67 +/- 0.03,0.70 +/- 0.04
361250,red_wine,quality,"1,599",11,0,0,0.41 +/- 0.03,0.51 +/- 0.06,0.46 +/- 0.07,0.59 +/- 0.06,0.48 +/- 0.08,0.54 +/- 0.09,0.77 +/- 0.04,0.69 +/- 0.06,0.73 +/- 0.06
361251,grid_stability,stab,"10,000",12,0,0,0.93 +/- 0.01,0.90 +/- 0.01,0.94 +/- 0.00,0.07 +/- 0.01,0.10 +/- 0.00,0.06 +/- 0.00,0.27 +/- 0.02,0.31 +/- 0.01,0.25 +/- 0.01
